id,name,prefix,f-test,pval
9628,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,29.7274,0.0000
17730,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,25.9792,0.0000
9627,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,24.3843,0.0000
8726,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,22.1677,0.0000
961,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,19.9086,0.0000
5238,5-phrase_feature__next_noun_phrases__have_overlap,5,19.7265,0.0000
27,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,18.9547,0.0000
5237,5-phrase_feature__next_noun_phrases__#overlap,5,15.5004,0.0001
5239,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,14.3205,0.0002
7667,7-syntactic_feature__next_root_words_overlap,7,8.0210,0.0046
960,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,5.4233,0.0199
10529,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,4.2853,0.0385
7668,7-syntactic_feature__next_subj_words_overlap,7,2.5889,0.1077
7666,7-syntactic_feature__next_obj_words_overlap,7,0.5103,0.4750
7664,6-entity_feature__next_entity__have_overlap,6,0.0254,0.8733
7663,6-entity_feature__next_entity__#overlap,6,0.0254,0.8733
7665,6-entity_feature__next_entity__jaccard_similarity,6,0.0254,0.8733
